Year;Consumer Films;Consumer Bags;Consumer Bottles;Other Consumer Packaging;Non Consumer Bags;Other Non Consumer Films;Other Non Consumer Packaging;Pipes and Ducts;Insulation;Wall and Floor Coverings;Windows, Profiles and Fitted Furniture;Lining;Building Packaging Films;Building Textiles;Geotextiles;Agricultural Packaging Films;Agricultural Packaging Bottles;Agricultural Films;Agricultural Pipes;Other Agricultural Plastics;Agrotextiles;Automotive;Mobility Textiles;Electrical and Electronic Equipment;Household Plastics;Furniture;Personal Care and Cosmetic Products;Other Plastic Products;Hygiene and Medical Textiles;Clothing;Technical Clothing;Household Textiles;Technical Household Textiles;Fabric Coatings;Other Technical Textiles
26;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,01625;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
27;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,01625;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
28;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,01625;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
29;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,01625;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
30;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,01625;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
31;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
32;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
33;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
34;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
35;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
36;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
37;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
38;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
39;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
40;0;0;0;0;0;0;0;0,01;0,025;0,00375;0,018064516;0,02;0;0,016;0;0;0;0;0,01;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0,002
41;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
